,usergrp,moviegrp,colerr,svderr,coltime,svdtime
0,5,5,1.627885288,0.774347583,0.015625954,0.015625954
1,5,10,1.787580311,0.756037884,0.015627146,0.234415293
2,5,15,1.76295097,0.564674485,0.015627384,0.06250453
3,5,20,0.532725946,0.358000029,0.015625238,0.140630007
4,5,25,1.464006844,1.896941368,0.015627861,0.015627861
5,5,30,1.375179944,1.238957507,0.015625477,0.046874285
6,5,35,1.644213004,1.126430968,0.015625954,0.046874046
7,5,40,1.644213004,1.368320097,0.015625477,0.031253576
8,5,45,1.644213004,0.933969961,0,0
9,10,5,0.463110068,1.342254969,0.015626192,0.03125906
10,10,10,0.567325954,1.696731059,0.015625954,0.015625954
11,10,15,0.520677092,1.13120936,0.015626192,0.031251192
12,10,20,0.522003682,1.52848119,0.015624046,0.031249285
13,10,25,0.495254211,1.137179001,0.015626431,0.031252384
14,10,30,0.492631734,1.103201738,0.015625238,0.015625238
15,10,35,0.496623475,1.095409934,0.015624762,0.031249285
16,10,40,0.720663194,1.274768698,0.015625477,0.046875477
17,10,45,0.668475828,1.10165792,0.015625477,0.031251907
18,15,5,0.289427674,1.648544461,0.046873331,0.046873331
19,15,10,0.450076379,1.203179843,0.031249046,0.046876431
20,15,15,0.524011214,0.858547703,0.046873093,0.046873093
21,15,20,0.541125754,0.849533292,0.031249523,0.046875477
22,15,25,0.580264187,1.07630488,0.046877384,0.062504053
23,15,30,0.657021655,1.060299569,0.031258821,0.062501669
24,15,35,0.570461302,0.95773295,0.031241417,0.062493324
25,15,40,0.543068026,0.907077746,0.046877384,0.062500954
26,15,45,0.59024725,1.00031268,0.046883821,0.062504053
27,20,5,0.485022757,1.110660716,0.062502146,0.078128099
28,20,10,0.45220752,0.8866131,0.078193188,0.093818903
29,20,15,0.497168601,0.854884892,0.062503099,0.078139067
30,20,20,0.493686272,0.872434856,0.062593222,0.093849421
31,20,25,0.485033238,0.946585296,0.062504053,0.093755722
32,20,30,0.518464332,0.696802914,0.062502861,0.093755245
33,20,35,0.645939952,0.777765004,0.062501192,0.093752861
34,20,40,0.719712809,0.740419933,0.078128338,0.093752384
35,20,45,0.560478256,0.79926208,0.062496662,0.093749523
36,25,5,0.372316372,0.700812348,0.109370708,0.124996185
37,25,10,0.407362153,0.973187905,0.109382391,0.125007629
38,25,15,0.461761517,0.690196279,0.109383106,0.125008583
39,25,20,0.506836696,0.858273776,0.093757868,0.125015497
40,25,25,0.491817351,0.637437142,0.109382153,0.125008583
41,25,30,0.527171872,0.803803694,0.093756437,0.125005245
42,25,35,0.535783023,0.80263829,0.109381676,0.140633345
43,25,40,0.498032156,0.658350328,0.109387875,0.140633345
44,25,45,0.507070032,0.694295768,0.093757153,0.125006676
45,30,5,0.382892322,0.911008899,0.140710831,0.156332016
46,30,10,0.407140623,0.47976829,0.156246185,0.187497377
47,30,15,0.391597948,0.829585516,0.140631199,0.156257153
48,30,20,0.430033143,0.586611317,0.140709639,0.187590837
49,30,25,0.449711692,0.701798877,0.156257153,0.187515736
50,30,30,0.470349402,0.655654685,0.140632153,0.171884298
51,30,35,0.446151112,0.736373366,0.140631676,0.171883106
52,30,40,0.461325113,0.76726983,0.140631914,0.187507153
53,30,45,0.430009666,0.506268112,0.140638828,0.171882153
54,35,5,0.301394239,0.814289869,0.187502384,0.21875453
55,35,10,0.318267406,0.701026881,0.187508106,0.21876049
56,35,15,0.314936668,0.571540507,0.187509775,0.218762398
57,35,20,0.303700979,0.510782648,0.187509775,0.234385014
58,35,25,0.338521602,0.638791831,0.203136206,0.234387875
59,35,30,0.3500522,0.715908011,0.203135014,0.234390497
60,35,35,0.353182804,0.789970726,0.203135252,0.250010967
61,35,40,0.336861007,0.680411774,0.20313549,0.250011921
62,35,45,0.378973976,0.585593167,0.203135729,0.250014305
63,40,5,0.25606348,0.546766211,0.250012159,0.281264305
64,40,10,0.313637375,0.718467896,0.250105858,0.281357288
65,40,15,0.302243393,0.754531263,0.250062466,0.281313658
66,40,20,0.322368789,0.671040218,0.265638113,0.312523365
67,40,25,0.344655994,0.488551756,0.250010967,0.29698801
68,40,30,0.337512893,0.588032688,0.25001502,0.296891928
69,40,35,0.344078564,0.737701859,0.250221968,0.297098398
70,40,40,0.369337653,0.642629886,0.265708447,0.312586546
71,40,45,0.35488876,0.577597307,0.265639067,0.328140974
72,45,5,0.30343705,0.599998322,0.32814312,0.359394789
73,45,10,0.315993755,0.530719387,0.312514782,0.343767166
74,45,15,0.289389376,0.691288647,0.328142643,0.359392643
75,45,20,0.284235936,0.700005042,0.312515974,0.343767643
76,45,25,0.337865112,0.65243899,0.312517166,0.359394312
77,45,30,0.303291123,0.588345955,0.312517405,0.359392166
78,45,35,0.326082502,0.588326544,0.328140974,0.390642166
79,45,40,0.312598338,0.754827765,0.312513113,0.375016689
80,45,45,0.326934672,0.686483907,0.312514305,0.390648842
